"ipm_id"	"kernel_id"	"formula"	"model_family"	"domain_start"	"domain_end"
"aaa109"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa110"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa110"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa111"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa111"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa112"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa112"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa113"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa113"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa114"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa114"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa115"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa115"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa116"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa116"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa117"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa117"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa118"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa118"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa119"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa119"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa120"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
"aaa120"	"F"	"F = rep_p * es_p * sdl_s *n_infl * n_fl * n_seed * d_size"	"CC"	"size"	"size"
"aaa121"	"P"	"P = s * g * d_size"	"CC"	"size"	"size"
