"ipm_id"	"state_variable"	"domain"	"lower"	"upper"	"kernel_id"	"notes"
"aaa301"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa302"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa303"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa304"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa305"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa306"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa307"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa308"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa309"	"size"	"size_all"	2	55	"K; P; F"	NA
"aaa310"	"size"	"size_all"	0	5.83	"K; P; F"	NA
"aaa311"	"size"	"size_all"	0	5.83	"K_sp; P_sp; F_sp"	NA
"aaa312"	"size"	"size_all"	0.113328685307003	7.23592774819172	"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr"	NA
"aaa313"	"size"	"size_all"	0.559615787935423	8.38529850560948	"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr"	NA
"aaa314"	"size"	"size_all"	0.19062035960865	7.09898955947908	"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr"	NA
"aaa315"	"size"	"size_all"	0.131028262406404	7.70635640752294	"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr"	NA
"aaa316"	"size"	"size_all"	0.131028262406404	7.59899735406811	"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr"	NA
"aaa317"	"size"	"size_all"	0.148420005118273	7.33258950423555	"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr"	NA
"aaa318"	"size"	"size_all"	0.131028262406404	6.96174420219558	"K_yr; P_yr; SdlOut_yr; goSB_yr; goSdl_yr"	NA
"aaa319"	"size"	"size_all"	-2.8	8.04	"K_herb_comp; P0_herb_comp; P1_herb_comp; F_herb_comp"	NA
"aaa320"	"size"	"size_all"	-2.8	8.04	"K_herb_comp; P0_herb_comp; P1_herb_comp; F_herb_comp"	NA
"aaa321"	"size"	"size_all"	0	200	"K_yr; P_yr; C_yr"	NA
"aaa322"	"size"	"size_all"	0	80	"K; P; F; goSB; goCont"	NA
"aaa323"	"size"	"size_all"	0.45	9.735	"K; P; F"	NA
