"ipm_id","demographic_parameter","state_variable","parameter_name","parameter_value"
"aaaa25","Survival","size","mi_1",-2.03
"aaaa25","Survival","size","mi_2",-2.03
"aaaa25","Survival","size","mi_3",-2.03
"aaaa25","Survival","size","mi_4",0.63
"aaaa25","Survival","size","mi_5",0.63
"aaaa25","Survival","size","mi_6",0.63
"aaaa25","Survival","size","ms",0.87
"aaaa25","Growth","size","gi_1",0.153
"aaaa25","Growth","size","gi_2",0.047
"aaaa25","Growth","size","gi_3",0.171
"aaaa25","Growth","size","gi_4",0.131
"aaaa25","Growth","size","gi_5",0.087
"aaaa25","Growth","size","gi_6",0.07
"aaaa25","Growth","size","gs_1",0.972
"aaaa25","Growth","size","gs_2",0.991
"aaaa25","Growth","size","gs_3",0.969
"aaaa25","Growth","size","gs_4",0.98
"aaaa25","Growth","size","gs_5",0.988
"aaaa25","Growth","size","gs_6",0.99
"aaaa25","Growth","constant","g_phi",8.62
"aaaa25","Growth","constant","g_gamma",-1.13
"aaaa26","Survival","size","mi_1",-2.95
"aaaa26","Survival","size","mi_2",-2.95
"aaaa26","Survival","size","mi_3",-2.95
"aaaa26","Survival","size","mi_4",0.68
"aaaa26","Survival","size","mi_5",0.68
"aaaa26","Survival","size","mi_6",0.68
"aaaa26","Survival","size","ms",3.04
"aaaa26","Survival","size","mp",-0.34
"aaaa26","Growth","size","gi_1",0.053
"aaaa26","Growth","size","gi_2",0.116
"aaaa26","Growth","size","gi_3",0.296
"aaaa26","Growth","size","gi_4",0.248
"aaaa26","Growth","size","gi_5",0.34
"aaaa26","Growth","size","gi_6",0.256
"aaaa26","Growth","size","gs_1",0.992
"aaaa26","Growth","size","gs_2",0.982
"aaaa26","Growth","size","gs_3",0.951
"aaaa26","Growth","size","gs_4",0.961
"aaaa26","Growth","size","gs_5",0.947
"aaaa26","Growth","size","gs_6",0.962
"aaaa26","Growth","constant","g_phi",0.57
"aaaa26","Growth","constant","g_gamma",-0.58
"aaaa27","Survival","size","mi_1",-2
